"ID","feature","chr","source","type","start","end","score","strand","phase","attributes","Alias","full_name","Note","symbol","curator_summary","chr_num","qtl","avg_snp_betas_sq","avg_snp_pve","score","left_bound","right_bound","chr","left_pos","right_pos"
"AT4G17470",541783,"Chr4","Araport11","gene",9742350,9744867,".","-",".","ID=AT4G17470;Name=AT4G17470;Note=alpha/beta-Hydrolases superfamily protein;computational_description=alpha/beta-Hydrolases superfamily protein%3B FUNCTIONS IN: palmitoyl-(protein) hydrolase activity%3B INVOLVED IN: protein modification process%3B LOCATED IN: endomembrane system%3B EXPRESSED IN: 11 plant structures%3B EXPRESSED DURING: LP.06 six leaves visible%2C LP.04 four leaves visible%2C C globular stage%2C petal differentiation and expansion stage%3B CONTAINS InterPro DOMAIN/s: Palmitoyl protein thioesterase (InterPro:IPR002472)%3B BEST Arabidopsis thaliana protein match is: alpha/beta-Hydrolases superfamily protein (TAIR:AT4G17480.1)%3B Has 628 Blast hits to 624 proteins in 157 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 330%3B Fungi - 94%3B Plants - 142%3B Viruses - 0%3B Other Eukaryotes - 62 (source: NCBI BLink).;Dbxref=PMID:15181204,PMID:15596101,PMID:16632643,PMID:16792696,PMID:18650403,PMID:23505340,locus:2129066;locus_type=protein_coding","","","alpha/beta-Hydrolases superfamily protein","","",4,"m_4_9222034",0.0332021567750442,0.0196639405222987,5.2148109105755,"m_4_8365173","m_4_10087222",4,8365173,10087222
"AT4G17880",543175,"Chr4","Araport11","gene",9933326,9935685,".","-",".","ID=AT4G17880;Name=AT4G17880;Note=Basic helix-loop-helix (bHLH) DNA-binding family protein;curator_summary=MYC4 is a JAZ-interacting transcription factor that act together with MYC2 and MYC3 to activate JA-responses.;symbol=MYC4;computational_description=Basic helix-loop-helix (bHLH) DNA-binding family protein%3B FUNCTIONS IN: DNA binding%2C sequence-specific DNA binding transcription factor activity%3B INVOLVED IN: regulation of transcription%3B LOCATED IN: nucleus%3B EXPRESSED IN: 22 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Helix-loop-helix DNA-binding domain (InterPro:IPR001092)%2C Helix-loop-helix DNA-binding (InterPro:IPR011598)%3B BEST Arabidopsis thaliana protein match is: Basic helix-loop-helix (bHLH) DNA-binding family protein (TAIR:AT5G46760.1)%3B Has 4061 Blast hits to 3773 proteins in 423 species: Archae - 0%3B Bacteria - 20%3B Metazoa - 552%3B Fungi - 119%3B Plants - 3303%3B Viruses - 13%3B Other Eukaryotes - 54 (source: NCBI BLink).;Dbxref=PMID:11118137,PMID:12509522,PMID:12679534,PMID:12897250,PMID:14600211,PMID:15208388,PMID:15713015,PMID:16021335,PMID:20736450,PMID:21335373,PMID:21321051,PMID:21889054,PMID:22173100,PMID:23142764,PMID:23632853,PMID:23943862,PMID:24377444,PMID:24824488,PMID:25627909,locus:2141055;locus_type=protein_coding","","","Basic helix-loop-helix (bHLH) DNA-binding family protein","MYC4","MYC4 is a JAZ-interacting transcription factor that act together with MYC2 and MYC3 to activate JA-responses.",4,"m_4_9222034",0.0332021567750442,0.0196639405222987,5.2148109105755,"m_4_8365173","m_4_10087222",4,8365173,10087222
"AT4G18130",543960,"Chr4","Araport11","gene",10042137,10046346,".","-",".","ID=AT4G18130;Name=AT4G18130;Note=phytochrome E;curator_summary=member of Histidine Kinase;symbol=PHYE;full_name=phytochrome E;computational_description=phytochrome E (PHYE)%3B FUNCTIONS IN: protein histidine kinase activity%2C G-protein coupled photoreceptor activity%2C signal transducer activity%3B INVOLVED IN: in 8 processes%3B LOCATED IN: membrane%3B EXPRESSED IN: 22 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Phytochrome%2C central region (InterPro:IPR013515)%2C Signal transduction histidine kinase%2C core (InterPro:IPR005467)%2C PAS fold (InterPro:IPR013767)%2C PAS (InterPro:IPR000014)%2C Phytochrome chromophore attachment domain (InterPro:IPR016132)%2C ATPase-like%2C ATP-binding domain (InterPro:IPR003594)%2C PAS fold-2 (InterPro:IPR013654)%2C Phytochrome A/B/C/D/E (InterPro:IPR012129)%2C Phytochrome (InterPro:IPR001294)%2C Signal transduction histidine kinase%2C subgroup 1%2C dimerisation/phosphoacceptor domain (InterPro:IPR003661)%2C Phytochrome chromophore binding site (InterPro:IPR013516)%2C GAF (InterPro:IPR003018)%3B BEST Arabidopsis thaliana protein match is: phytochrome B (TAIR:AT2G18790.1)%3B Has 25391 Blast hits to 25044 proteins in 3724 species: Archae - 289%3B Bacteria - 19481%3B Metazoa - 8%3B Fungi - 476%3B Plants - 4006%3B Viruses - 9%3B Other Eukaryotes - 1122 (source: NCBI BLink).;Dbxref=PMID:10734217,PMID:10723737,PMID:10571889,PMID:10485280,PMID:10379648,PMID:10069829,PMID:9800208,PMID:9724694,PMID:9611171,PMID:9491613,PMID:9390432,PMID:9252112,PMID:8865668,PMID:8616214,PMID:7539307,PMID:8049367,PMID:11089975,PMID:11743105,PMID:11437253,PMID:11553757,PMID:15960622,PMID:17076805,PMID:17346261,PMID:17504457,PMID:19286967,PMID:16885032,PMID:19453482,PMID:20605855,PMID:21985558,PMID:22303272,PMID:23772959,PMID:24471455,locus:2005536;locus_type=protein_coding","","phytochrome E","phytochrome E","PHYE","member of Histidine Kinase",4,"m_4_9222034",0.0332021567750442,0.0196639405222987,5.2148109105755,"m_4_8365173","m_4_10087222",4,8365173,10087222
"AT4G18220",544181,"Chr4","Araport11","gene",10078638,10080362,".","+",".","ID=AT4G18220;Name=AT4G18220;Note=Drug/metabolite transporter superfamily protein;computational_description=Drug/metabolite transporter superfamily protein%3B CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF250 (InterPro:IPR004853)%3B BEST Arabidopsis thaliana protein match is: purine permease 10 (TAIR:AT4G18210.1)%3B Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 736%3B Fungi - 347%3B Plants - 385%3B Viruses - 0%3B Other Eukaryotes - 339 (source: NCBI BLink).;Dbxref=PMID:17026540,locus:2141916;locus_type=protein_coding","","","Drug/metabolite transporter superfamily protein","","",4,"m_4_9222034",0.0332021567750442,0.0196639405222987,5.2148109105755,"m_4_8365173","m_4_10087222",4,8365173,10087222
"AT5G64850",779671,"Chr5","Araport11","gene",25921402,25923418,".","+",".","ID=AT5G64850;Name=AT5G64850;Note=sorbin/SH3 domain protein;computational_description=FUNCTIONS IN: molecular_function unknown%3B INVOLVED IN: biological_process unknown%3B LOCATED IN: plasma membrane%3B EXPRESSED IN: 22 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: RPM1-interacting protein 4%2C defence response (InterPro:IPR008700)%3B BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G09960.1)%3B Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12%3B Bacteria - 1396%3B Metazoa - 17338%3B Fungi - 3422%3B Plants - 5037%3B Viruses - 0%3B Other Eukaryotes - 2996 (source: NCBI BLink).;Dbxref=locus:2177704;locus_type=protein_coding","","","sorbin/SH3 domain protein","","",5,"m_5_26130021",0.0444982705523692,0.0270535733427661,8.98891191395397,"m_5_25852375","m_5_26346630",5,25852375,26346630
"AT5G65610",782144,"Chr5","Araport11","gene",26219442,26221028,".","+",".","ID=AT5G65610;Name=AT5G65610;Note=hypothetical protein;computational_description=unknown protein%3B Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 736%3B Fungi - 347%3B Plants - 385%3B Viruses - 0%3B Other Eukaryotes - 339 (source: NCBI BLink).;Dbxref=locus:2155695;locus_type=protein_coding","","","hypothetical protein","","",5,"m_5_26130021",0.0444982705523692,0.0270535733427661,8.98891191395397,"m_5_25852375","m_5_26346630",5,25852375,26346630
"AT5G65800",783015,"Chr5","Araport11","gene",26330746,26332812,".","-",".","ID=AT5G65800;Name=AT5G65800;Note=ACC synthase 5;curator_summary=1-aminocyclopropane-1-carboxylate synthase (ACS) is encoded by a multigene family consisting of at least five members whose expression is induced by hormones%2C developmental signals%2C and protein synthesis inhibition.;symbol=ACS5;Alias=ATACS5,CIN5,CYTOKININ-INSENSITIVE 5,ETO2,ETHYLENE OVERPRODUCER 2;full_name=ACC synthase 5;computational_description=ACC synthase 5 (ACS5)%3B CONTAINS InterPro DOMAIN/s: 1-aminocyclopropane-1-carboxylate synthase (InterPro:IPR001176)%2C Pyridoxal phosphate-dependent transferase%2C major domain (InterPro:IPR015424)%2C Aminotransferase%2C class I/classII (InterPro:IPR004839)%2C Aminotransferases%2C class-I%2C pyridoxal-phosphate-binding site (InterPro:IPR004838)%2C Pyridoxal phosphate-dependent transferase%2C major region%2C subdomain 1 (InterPro:IPR015421)%2C Pyridoxal phosphate-dependent transferase%2C major region%2C subdomain 2 (InterPro:IPR015422)%3B BEST Arabidopsis thaliana protein match is: 1-aminocyclopropane-1-carboxylate synthase 9 (TAIR:AT3G49700.1)%3B Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 736%3B Fungi - 347%3B Plants - 385%3B Viruses - 0%3B Other Eukaryotes - 339 (source: NCBI BLink).;Dbxref=PMID:9952448,PMID:9539813,PMID:9011084,PMID:11027700,PMID:11605960,PMID:11950988,PMID:11860212,PMID:11858262,PMID:12566591,PMID:12968022,PMID:15118728,PMID:15466221,PMID:15699063,PMID:15908600,PMID:16325963,PMID:18084766,PMID:18808454,PMID:19190240,PMID:18980656,PMID:19132085,PMID:19752216,PMID:20682786,PMID:21575089,PMID:21535259,PMID:21533019,PMID:21645149,PMID:21949212,PMID:22995285,PMID:23512855,PMID:23166504,PMID:24065059,PMID:25464840,locus:2169980;locus_type=protein_coding","ATACS5,CIN5,CYTOKININ-INSENSITIVE 5,ETO2,ETHYLENE OVERPRODUCER 2","ACC synthase 5","ACC synthase 5","ACS5","1-aminocyclopropane-1-carboxylate synthase (ACS) is encoded by a multigene family consisting of at least five members whose expression is induced by hormones%2C developmental signals%2C and protein synthesis inhibition.",5,"m_5_26130021",0.0444982705523692,0.0270535733427661,8.98891191395397,"m_5_25852375","m_5_26346630",5,25852375,26346630
"AT5G10140",635021,"Chr5","Araport11","gene",3173382,3179448,".","-",".","ID=AT5G10140;Name=AT5G10140;Note=K-box region and MADS-box transcription factor family protein;curator_summary=MADS-box protein encoded by FLOWERING LOCUS C - transcription factor that functions as a repressor of floral transition and contributes to temperature compensation of the circadian clock. Expression is downregulated during cold treatment. Vernalization%2C FRI and the autonomous pathway all influence the state of FLC chromatin. Both maternal and paternal alleles are reset by vernalization%2C but their earliest activation differs in timing and location. Histone H3 trimethylation at lysine 4 and histone acetylation are associated with active FLC expression%2C whereas histone deacetylation and histone H3 dimethylation at lysines 9 and 27 are involved in FLC repression. Expression is also repressed by two small RNAs (30- and 24-nt) complementary to the FLC sense strand 3? to the polyA site. The small RNAs are most likely derived from an antisense transcript of FLC. Interacts with SOC1 and FT chromatin in vivo. Member of a protein complex.;symbol=FLC;Alias=AGL25,AGAMOUS-like 25,FLF,FLOWERING LOCUS F,RSB6,REDUCED STEM BRANCHING 6;full_name=FLOWERING LOCUS C;computational_description=FLOWERING LOCUS C (FLC)%3B CONTAINS InterPro DOMAIN/s: Transcription factor%2C MADS-box (InterPro:IPR002100)%2C Transcription factor%2C K-box (InterPro:IPR002487)%3B BEST Arabidopsis thaliana protein match is: K-box region and MADS-box transcription factor family protein  (TAIR:AT1G77080.4)%3B Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 736%3B Fungi - 347%3B Plants - 385%3B Viruses - 0%3B Other Eukaryotes - 339 (source: NCBI BLink).;Dbxref=PMID:10995392,PMID:10716723,PMID:10645430,PMID:10571866,PMID:10330478,PMID:10330462,PMID:10072403,PMID:9611189,PMID:9215913,PMID:8628249,PMID:7808406,PMID:11118137,PMID:11719192,PMID:11297514,PMID:11283346,PMID:11115127,PMID:11351076,PMID:11457959,PMID:12114624,PMID:12169635,PMID:11849594,PMID:11982943,PMID:12207655,PMID:12403707,PMID:12454088,PMID:12520338,PMID:12582628,PMID:12548286,PMID:12609029,PMID:12609028,PMID:12702689,PMID:12694278,PMID:12750345,PMID:12724541,PMID:11389763,PMID:11681610,PMID:12809608,PMID:12805638,PMID:12805228,PMID:12837955,PMID:12837945,PMID:12904584,PMID:12940954,PMID:14573523,PMID:14558654,PMID:14616066,PMID:14615187,PMID:14605222,PMID:14593187,PMID:14690505,PMID:14732435,PMID:14712277,PMID:14712276,PMID:14973192,PMID:14973162,PMID:14745450,PMID:14745447,PMID:15111714,PMID:15125772,PMID:15186749,PMID:15270676,PMID:15310842,PMID:15289433,PMID:15448272,PMID:15377760,PMID:15361145,PMID:15337100,PMID:15505218,PMID:15472079,PMID:15545622,PMID:15520273,PMID:15618421,PMID:15695584,PMID:15659097,PMID:15695467,PMID:15714562,PMID:15734903,PMID:15642521,PMID:12368502,PMID:11851919,PMID:11019811,PMID:15908596,PMID:15911588,PMID:16103920,PMID:16141450,PMID:16155178,PMID:16258034,PMID:16236152,PMID:16262868,PMID:16299497,PMID:16291783,PMID:16341708,PMID:16495307,PMID:16473970,PMID:16554362,PMID:16549797,PMID:16547097,PMID:16507079,PMID:16632644,PMID:16623890,PMID:16623882,PMID:16600915,PMID:16728410,PMID:16682972,PMID:16844088,PMID:16737527,PMID:16983073,PMID:17056759,PMID:17052766,PMID:17024448,PMID:17142478,PMID:17138694,PMID:17114581,PMID:17114575,PMID:17079264,PMID:17179080,PMID:17174094,PMID:17144897,PMID:17224141,PMID:17220196,PMID:17360694,PMID:17383745,PMID:17380304,PMID:17363895,PMID:16839183,PMID:17470967,PMID:17416640,PMID:17535820,PMID:17488241,PMID:17579240,PMID:17631524,PMID:17611230,PMID:17764945,PMID:17709278,PMID:17693414,PMID:17908157,PMID:17940010,PMID:17938878,PMID:17921315,PMID:18032403,PMID:18007657,PMID:17996704,PMID:17980595,PMID:18156133,PMID:18212027,PMID:18178621,PMID:18298670,PMID:18296430,PMID:18250331,PMID:17542647,PMID:18408043,PMID:18390846,PMID:18375656,PMID:18573194,PMID:18638531,PMID:18630751,PMID:18612241,PMID:18606145,PMID:18798874,PMID:18790998,PMID:18725930,PMID:18938104,PMID:18854416,PMID:18852898,PMID:18849490,PMID:18830798,PMID:19011118,PMID:18988635,PMID:18980658,PMID:19091875,PMID:19125288,PMID:19121105,PMID:19247973,PMID:19190987,PMID:19190098,PMID:19317844,PMID:19304997,PMID:19255487,PMID:19392705,PMID:19376936,PMID:19374717,PMID:19368695,PMID:19429606,PMID:19419532,PMID:19416817,PMID:19406114,PMID:15740643,PMID:16028119,PMID:16008094,PMID:16096981,PMID:16240176,PMID:17427127,PMID:18069938,PMID:18346112,PMID:18315697,PMID:19139056,PMID:19291007,PMID:19383102,PMID:19369938,PMID:19625634,PMID:19584551,PMID:19581451,PMID:19581446,PMID:19576878,PMID:19567704,PMID:19564609,PMID:19563438,PMID:19704434,PMID:19704583,PMID:19783648,PMID:19755537,PMID:19726574,PMID:19855050,PMID:19825833,PMID:19825652,PMID:19825638,PMID:19789276,PMID:19939256,PMID:19878465,PMID:20010688,PMID:19965720,PMID:19947984,PMID:20100201,PMID:20084169,PMID:20149132,PMID:20405310,PMID:20463090,PMID:20534541,PMID:20659007,PMID:20711170,PMID:19582143,PMID:20079695,PMID:20974738,PMID:20960515,PMID:20956294,PMID:20884277,PMID:21113723,PMID:21098730,PMID:21075770,PMID:21051939,PMID:20659481,PMID:21175890,PMID:21127216,PMID:21228003,PMID:21209277,PMID:21258002,PMID:21241311,PMID:21282611,PMID:21282526,PMID:21277284,PMID:21276103,PMID:21304947,PMID:21296763,PMID:21445315,PMID:21423667,PMID:21421391,PMID:21406964,PMID:21398257,PMID:21464308,PMID:21459171,PMID:21543726,PMID:21536901,PMID:21625501,PMID:21713009,PMID:21710206,PMID:21701597,PMID:21633188,PMID:21646087,PMID:21653190,PMID:21785438,PMID:21777708,PMID:21852275,PMID:21830950,PMID:21822060,PMID:21815977,PMID:21988878,PMID:21973058,PMID:22107881,PMID:22102827,PMID:22078062,PMID:22186181,PMID:22282534,PMID:22247249,PMID:22232549,PMID:22363474,PMID:22353866,PMID:22325870,PMID:22378382,PMID:22404750,PMID:22384368,PMID:22383540,PMID:22487254,PMID:22536163,PMID:22494398,PMID:22628560,PMID:22555401,PMID:22729397,PMID:22694359,PMID:22685309,PMID:22658650,PMID:22833792,PMID:22798408,PMID:22785023,PMID:22767201,PMID:11094985,PMID:22865739,PMID:22848750,PMID:23017898,PMID:22975319,PMID:22960247,PMID:22935652,PMID:23106477,PMID:23029223,PMID:23148892,PMID:23154417,PMID:23135282,PMID:23111501,PMID:23252608,PMID:23241244,PMID:23237803,PMID:23222483,PMID:23212611,PMID:23339832,PMID:23326539,PMID:23311994,PMID:23308205,PMID:23307919,PMID:23284298,PMID:23273925,PMID:23417034,PMID:23616927,PMID:23590427,PMID:22381539,PMID:23683925,PMID:23668187,PMID:23641115,PMID:22295091,PMID:23770815,PMID:23745676,PMID:23864009,PMID:23836195,PMID:23899645,PMID:23955420,PMID:24038665,PMID:24078668,PMID:24220632,PMID:24390058,PMID:24363425,PMID:22543923,PMID:23976921,PMID:24013499,PMID:24102415,PMID:24510722,PMID:24639681,PMID:24587042,PMID:24725596,PMID:24876250,PMID:24808013,PMID:24799695,PMID:23733063,PMID:25070081,PMID:25065750,PMID:25039363,PMID:25035417,PMID:25030056,PMID:25150167,PMID:24218331,PMID:25219852,PMID:25211139,PMID:25207670,PMID:25351333,PMID:25349421,PMID:25339407,PMID:25267112,PMID:24465009,PMID:25429892,PMID:25377553,PMID:25605879,PMID:25588388,PMID:25658099,PMID:25648822,locus:2184118;locus_type=protein_coding","AGL25,AGAMOUS-like 25,FLF,FLOWERING LOCUS F,RSB6,REDUCED STEM BRANCHING 6","FLOWERING LOCUS C","K-box region and MADS-box transcription factor family protein","FLC","MADS-box protein encoded by FLOWERING LOCUS C - transcription factor that functions as a repressor of floral transition and contributes to temperature compensation of the circadian clock. Expression is downregulated during cold treatment. Vernalization%2C FRI and the autonomous pathway all influence the state of FLC chromatin. Both maternal and paternal alleles are reset by vernalization%2C but their earliest activation differs in timing and location. Histone H3 trimethylation at lysine 4 and histone acetylation are associated with active FLC expression%2C whereas histone deacetylation and histone H3 dimethylation at lysines 9 and 27 are involved in FLC repression. Expression is also repressed by two small RNAs (30- and 24-nt) complementary to the FLC sense strand 3? to the polyA site. The small RNAs are most likely derived from an antisense transcript of FLC. Interacts with SOC1 and FT chromatin in vivo. Member of a protein complex.",5,"m_5_3799350",0.448437371928675,0.21053740869484,14.1913358137928,"m_5_3090355","m_5_3811043",5,3090355,3811043
"AT5G11190",638247,"Chr5","Araport11","gene",3564824,3566260,".","+",".","ID=AT5G11190;Name=AT5G11190;Note=Integrase-type DNA-binding superfamily protein;curator_summary=encodes a member of the ERF (ethylene response factor) subfamily B-6 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 12 members in this subfamily including RAP2.11.;symbol=SHN2;full_name=shine2;computational_description=shine3 (SHN3)%3B FUNCTIONS IN: DNA binding%2C sequence-specific DNA binding transcription factor activity%3B INVOLVED IN: regulation of transcription%2C DNA-dependent%3B LOCATED IN: mitochondrion%2C nucleus%3B EXPRESSED IN: anther dehiscence zone%2C fruit dehiscence zone%3B CONTAINS InterPro DOMAIN/s: DNA-binding%2C integrase-type (InterPro:IPR016177)%2C Pathogenesis-related transcriptional factor/ERF%2C DNA-binding (InterPro:IPR001471)%3B BEST Arabidopsis thaliana protein match is: Integrase-type DNA-binding superfamily protein (TAIR:AT5G25390.2)%3B Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 736%3B Fungi - 347%3B Plants - 385%3B Viruses - 0%3B Other Eukaryotes - 339 (source: NCBI BLink).;Dbxref=PMID:11118137,PMID:15078338,PMID:15070782,PMID:15319479,PMID:21637781,PMID:22516817,PMID:23505340,PMID:25687296,locus:2148022;locus_type=protein_coding","","shine2","Integrase-type DNA-binding superfamily protein","SHN2","encodes a member of the ERF (ethylene response factor) subfamily B-6 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 12 members in this subfamily including RAP2.11.",5,"m_5_3799350",0.448437371928675,0.21053740869484,14.1913358137928,"m_5_3090355","m_5_3811043",5,3090355,3811043
"AT5G11260",638522,"Chr5","Araport11","gene",3593335,3595073,".","-",".","ID=AT5G11260;Name=AT5G11260;Note=Basic-leucine zipper (bZIP) transcription factor family protein;curator_summary=Basic leucine zipper (bZIP) transcription factor. Nuclear localization. Involved in light-regulated transcriptional activation of G-box-containing promoters. Negatively regulated by Cop1. Although cytokinins do not appear to affect the gene's promoter activity%2C they appear to stabilize the protein. HY5 plays a role in anthocyanin accumulation in far-red light and blue light%2C but not in red light or in the dark. Mutant studies showed that the gene product is involved in the positive regulation of the PHYA-mediated inhibition of hypocotyl elongation. Binds to G- and Z-boxes%2C and other ACEs%2C but not to E-box. Loss of function mutation shows ABA resistant seedling phenotypes suggesting involvement for HY5 in mediating ABA responses. Binds to the promoter of ABI5 and regulates its expression.;symbol=HY5;Alias=TED 5,REVERSAL OF THE DET PHENOTYPE 5;full_name=ELONGATED HYPOCOTYL 5;computational_description=ELONGATED HYPOCOTYL 5 (HY5)%3B FUNCTIONS IN: double-stranded DNA binding%2C DNA binding%2C sequence-specific DNA binding transcription factor activity%3B INVOLVED IN: in 13 processes%3B LOCATED IN: nucleus%3B EXPRESSED IN: 23 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Basic-leucine zipper (bZIP) transcription factor (InterPro:IPR004827)%2C bZIP transcription factor%2C bZIP-1 (InterPro:IPR011616)%2C cAMP response element binding (CREB) protein (InterPro:IPR001630)%3B BEST Arabidopsis thaliana protein match is: HY5-homolog (TAIR:AT3G17609.2)%3B Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12%3B Bacteria - 1396%3B Metazoa - 17338%3B Fungi - 3422%3B Plants - 5037%3B Viruses - 0%3B Other Eukaryotes - 2996 (source: NCBI BLink).;Dbxref=PMID:10990463,PMID:10839542,PMID:9755158,PMID:9721678,PMID:9659918,PMID:9596629,PMID:9367981,PMID:9093863,PMID:8624438,PMID:8819865,PMID:8038603,PMID:8038602,PMID:11019812,PMID:11118137,PMID:11115869,PMID:11226162,PMID:11706180,PMID:11684663,PMID:11752385,PMID:11883605,PMID:11906833,PMID:11145879,PMID:11161203,PMID:11553757,PMID:11509693,PMID:12028569,PMID:12023303,PMID:12000677,PMID:12061902,PMID:12324590,PMID:12225670,PMID:12220265,PMID:12445126,PMID:12397181,PMID:12368504,PMID:12368493,PMID:14563928,PMID:14597662,PMID:14645731,PMID:14739338,PMID:15525647,PMID:15741320,PMID:15960622,PMID:16330762,PMID:16565297,PMID:16829591,PMID:16813572,PMID:16908503,PMID:16891401,PMID:17001643,PMID:17076805,PMID:17261584,PMID:17217468,PMID:17319847,PMID:17337630,PMID:17478635,PMID:17720867,PMID:17965270,PMID:17929051,PMID:18082144,PMID:18065688,PMID:18055587,PMID:18053005,PMID:18203870,PMID:18182030,PMID:18287490,PMID:18266923,PMID:18332440,PMID:18481083,PMID:18621945,PMID:18796637,PMID:19329557,PMID:19492112,PMID:17121469,PMID:18540109,PMID:18778247,PMID:19140931,PMID:19324677,PMID:19559617,PMID:19558421,PMID:19704462,PMID:19734083,PMID:19802365,PMID:19895401,PMID:20041285,PMID:20008096,PMID:20031919,PMID:20031914,PMID:20047775,PMID:20351290,PMID:20491669,PMID:20487384,PMID:20565708,PMID:20876338,PMID:20864454,PMID:20818397,PMID:20009559,PMID:20932601,PMID:21097709,PMID:21093457,PMID:21041653,PMID:21265889,PMID:21333657,PMID:21332509,PMID:21301222,PMID:21427283,PMID:21395889,PMID:21525334,PMID:21511871,PMID:21499259,PMID:21623972,PMID:21632973,PMID:21645149,PMID:21715650,PMID:21848684,PMID:21821942,PMID:21947436,PMID:21930922,PMID:21904598,PMID:21636970,PMID:22188380,PMID:22321255,PMID:22424472,PMID:22410790,PMID:22516816,PMID:22057333,PMID:22582101,PMID:22699753,PMID:22692212,PMID:22681544,PMID:22827944,PMID:22760208,PMID:22990446,PMID:22988111,PMID:23093358,PMID:23150635,PMID:23142794,PMID:23123453,PMID:23314848,PMID:23314821,PMID:23371951,PMID:23425851,PMID:23624715,PMID:23583450,PMID:23645630,PMID:23733077,PMID:23864838,PMID:23933882,PMID:23893169,PMID:24304604,PMID:23503597,PMID:24610722,PMID:24586210,PMID:24586043,PMID:24583010,PMID:24858936,PMID:23733056,PMID:25052717,PMID:25049395,PMID:25025208,PMID:24348273,PMID:25248106,PMID:25351492,PMID:25534860,PMID:25533339,PMID:25516599,PMID:25443843,PMID:25630103,PMID:25557464,locus:2148007;locus_type=protein_coding","TED 5,REVERSAL OF THE DET PHENOTYPE 5","ELONGATED HYPOCOTYL 5","Basic-leucine zipper (bZIP) transcription factor family protein","HY5","Basic leucine zipper (bZIP) transcription factor. Nuclear localization. Involved in light-regulated transcriptional activation of G-box-containing promoters. Negatively regulated by Cop1. Although cytokinins do not appear to affect the gene's promoter activity%2C they appear to stabilize the protein. HY5 plays a role in anthocyanin accumulation in far-red light and blue light%2C but not in red light or in the dark. Mutant studies showed that the gene product is involved in the positive regulation of the PHYA-mediated inhibition of hypocotyl elongation. Binds to G- and Z-boxes%2C and other ACEs%2C but not to E-box. Loss of function mutation shows ABA resistant seedling phenotypes suggesting involvement for HY5 in mediating ABA responses. Binds to the promoter of ABI5 and regulates its expression.",5,"m_5_3799350",0.448437371928675,0.21053740869484,14.1913358137928,"m_5_3090355","m_5_3811043",5,3090355,3811043
"AT5G11320",638654,"Chr5","Araport11","gene",3611247,3613640,".","-",".","ID=AT5G11320;Name=AT5G11320;Note=Flavin-binding monooxygenase family protein;curator_summary=Belongs to the YUC gene family.  Encodes a predicted flavin monooxygenase YUC4 involved in auxin biosynthesis and plant development.;symbol=YUC4;Alias=AtYUC4;full_name=YUCCA4;computational_description=YUCCA4 (YUC4)%3B FUNCTIONS IN: NADP or NADPH binding%2C oxidoreductase activity%2C monooxygenase activity%2C FAD binding%2C flavin-containing monooxygenase activity%3B INVOLVED IN: in 7 processes%3B EXPRESSED IN: 12 plant structures%3B EXPRESSED DURING: 6 growth stages%3B CONTAINS InterPro DOMAIN/s: Pyridine nucleotide-disulphide oxidoreductase%2C class-II (InterPro:IPR000103)%2C FAD-dependent pyridine nucleotide-disulphide oxidoreductase (InterPro:IPR013027)%2C Flavin-containing monooxygenase-like (InterPro:IPR020946)%3B BEST Arabidopsis thaliana protein match is: Flavin-binding monooxygenase family protein (TAIR:AT4G32540.1)%3B Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 736%3B Fungi - 347%3B Plants - 385%3B Viruses - 0%3B Other Eukaryotes - 339 (source: NCBI BLink).;Dbxref=PMID:16818609,PMID:16740145,PMID:17059406,PMID:17704214,PMID:18000043,PMID:18287041,PMID:19075219,PMID:19279202,PMID:19435937,PMID:18811619,PMID:20154152,PMID:21205174,PMID:22233288,PMID:22318676,PMID:22301969,PMID:22491872,PMID:23621152,PMID:23722561,locus:2147962;locus_type=protein_coding","AtYUC4","YUCCA4","Flavin-binding monooxygenase family protein","YUC4","Belongs to the YUC gene family.  Encodes a predicted flavin monooxygenase YUC4 involved in auxin biosynthesis and plant development.",5,"m_5_3799350",0.448437371928675,0.21053740869484,14.1913358137928,"m_5_3090355","m_5_3811043",5,3090355,3811043
